Municipality,Establishment,License Number,VGT Count,Amount Played,Amount Won,Net Wager,Funds In,Funds Out,Net Terminal Income,NTI Tax,State Share,Municipality Share
Bloomington,"WFR, LLC",240701582,5,2056855.17,1880425.27,176429.9,698034,521604.1,176429.9,61750.69,52669.7,9080.99
Tamaroa,"Alvis Backroad Bar and Grill, LLC",240701581,5,201685.5,185697.28,15988.22,72519,56530.59,15988.41,5595.99,4773.05,822.94
Round Lake,R&S INC. 2024,240701548,6,597479.95,540878.93,56601.02,229994,173392.98,56601.02,19810.39,16897.1,2913.29
Pittsfield,"Swartz & Swartz, Inc.",240701546,4,884.95,636.99,247.96,310,62.04,247.96,86.8,74.04,12.76
Mount Vernon,Casa Raya LLC,240701538,6,30873.57,26516.68,4356.89,15029,10671.88,4357.12,1525.01,1300.74,224.27
Joliet,"C.C.C.B. Company, Inc.",240701532,3,46778.11,42220.05,4558.06,16645,12086.94,4558.06,1595.34,1360.73,234.61
Macomb,"Lucky Z's, LLC",240701528,6,19332.51,19734.85,-402.34,6595,6997.34,-402.34,-140.83,-120.12,-20.71
Macomb,"Lucky Z's, LLC",240701527,6,703.53,555.64,147.89,333,185.11,147.89,51.76,44.15,7.61
Macomb,"Lucky Z's, LLC",240701526,6,723267.76,637790.68,85477.08,271682,186204.92,85477.08,29917.06,25517.49,4399.57
Bloomington,Times Past 2.0 LLC,240701523,5,1161362.26,1054398.84,106963.42,404984,298020.58,106963.42,37437.2,31931.73,5505.47
Bushnell,STEPH'S SPIN 'N WIN LLC,240701482,5,223984.24,204923,19061.24,79342,60280.76,19061.24,6671.44,5690.35,981.09
Galesburg,"Smokin Willies BBQ, LLC",240701480,6,99068.04,89043.58,10024.46,33412,23387.54,10024.46,3508.66,2992.69,515.97
Sterling,"ABBY'S WINE III, INC.",240701450,6,44579.86,39323.79,5256.07,16359,11102.93,5256.07,1839.63,1569.1,270.53
DuPage County,"TwinsNaperville, LLC",240701447,6,1585231.88,1409382.72,175849.16,581234,405384.84,175849.16,61547.42,52496.32,9051.1
Maryville,Jan's Naturals LLC,240701441,6,352,302,50,58,8,50,17.5,14.93,2.57
Tuscola,"JBuck, LLC",240701430,6,352510.41,323093.71,29416.7,133944,104527.3,29416.7,10295.85,8781.75,1514.1
Villa Park,Dance Villa Inc.,240701416,6,75834.82,67738.32,8096.5,28345,20248.23,8096.77,2833.87,2417.13,416.74
Peoria Heights,Palarte Frida LLC,240701394,3,895.21,791.49,103.72,215,111.18,103.82,36.33,30.98,5.35
Wheeling,CAFE PARLAY WHEELING LLC,240701392,6,6460.22,4521,1939.22,2246,306.78,1939.22,678.73,578.92,99.81
Canton,"Official Time Out, LLC",240701372,6,826537.25,753470.05,73067.2,256212,183144.85,73067.15,25573.65,21812.81,3760.84
Freeport,TIIE CORP.,240701350,6,123999.59,113683.21,10316.38,60986,50669.62,10316.38,3610.83,3079.81,531.02
Melrose Park,MELROSE F&L INC.,240701347,6,1119144.2,1027045.08,92099.12,431029,338929.88,92099.12,32234.68,27494.3,4740.38
Crestwood,DD ENTERTAINMENT LLC,240701343,6,1085241.36,982429.25,102812.11,437290,334477.89,102812.11,35984.31,30692.51,5291.8
Peoria,"Veterans Pub & Pizza, Inc.",240701330,6,3805578.35,3419633.31,385945.04,1384230,998284.96,385945.04,134692.19,114884.51,19807.68
Table Grove,ZAVERNANDI CORPORATION,240701320,5,379825.5,341425.27,38400.23,118728,80327.77,38400.23,13440.25,11463.74,1976.51
Alma,Sporty's Gaming LLC,240701314,6,354132.21,336443.29,17688.92,103159,85470.08,17688.92,6191.22,5280.75,910.47
New Lenox,DON JOSE'S CANTINA & TAQUERIA LLC,240701299,6,107296.12,95061.77,12234.35,49408,37173.65,12234.35,4282.03,3652.32,629.71
Sycamore,MARJOHN INVESTMENTS LLC,240701296,6,216383.54,205510.42,10873.12,73286,62412.88,10873.12,3805.64,3245.99,559.65
Robinson,Meyer Oil Co.,240701292,6,597328.91,541800.09,55528.82,219667,164137.68,55529.32,19435.33,16577.19,2858.14
Oak Lawn,"EAT EM UP, INC.",240701283,6,265782.09,234285.45,31496.64,99409,67912.36,31496.64,11023.96,9402.8,1621.16
Orland Hills,Joey's of Orland Hills LLC,240701274,6,752444.1,672945.04,79499.06,275752,196252.55,79499.45,27824.88,23732.99,4091.89
Murphysboro,Unlimited Gaming LLC,240701252,6,808917.47,742403.44,66514.03,259120,192605.97,66514.03,23280.08,19856.55,3423.53
Lemont,"JNK HOSPITALITY, LLC",240701251,6,271816.88,250058.86,21758.02,68340,46581.98,21758.02,7615.3,6495.4,1119.9
Highland,"KORTE MEAT PROCESSORS, INC.",240701250,6,167219.82,153903.61,13316.21,64496,51179.79,13316.21,4660.69,3975.29,685.4
Murphysboro,MK GAMING LLC,240701249,6,566819.2,522649.74,44169.46,164573,120403.54,44169.46,15459.37,13185.93,2273.44
Hillside,MM & TRE CORPORATION,240701235,6,478685.12,423099,55586.12,196199,140612.88,55586.12,19455.22,16594.16,2861.06
Loves Park,Easy Tiger 815 LLC,240701234,6,315630.81,279816.3,35814.51,115242,79426.75,35815.25,12535.55,10692.09,1843.46
Crete,RAAMA INC.,240701228,6,690197.5,618682.16,71515.34,231849,160333.66,71515.34,25030.39,21349.45,3680.94
Watseka,PORKY BARN LLC,240701220,6,194788.07,175481.59,19306.48,68159,48852.52,19306.48,6757.32,5763.6,993.72
Richton Park,New Ambitions Entertainment LLC,240701218,4,12579.68,10864.61,1715.07,3460,1744.93,1715.07,600.27,512,88.27
Chillicothe,"Adkins & Son 3, Inc.",240701203,6,145050.45,125763.74,19286.71,54497,35210.29,19286.71,6750.35,5757.65,992.7
Wood River,"SUN CATCHERS TAN, INC.",240701195,6,989.2,772.77,216.43,487,270.57,216.43,75.75,64.61,11.14
Capron,"The Humble Stumble, LLC",240701194,6,1186028.49,1085194.37,100834.12,387168,286332.88,100835.12,35292.3,30102.26,5190.04
Posen,LAXMI 10 INC.,240701193,6,953131.3,842447.31,110683.99,386656,275972.01,110683.99,38739.62,33042.62,5697
Smithton,Tequila Olvera Incorporated,240701186,6,723260.29,670760.03,52500.26,189082,136581.59,52500.41,18375.2,15672.95,2702.25
Mattoon,"Village VII, Inc.",240701183,2,12890.56,9671.56,3219,5990,2770.74,3219.26,1126.74,961.04,165.7
Champaign,YATAI RESTAURANT LLC,240701178,6,188.36,69.16,119.2,126,6.8,119.2,41.72,35.58,6.14
Vandalia,Kickn 66 Liquor & More Corporation,240701159,6,1074614.87,980403.13,94211.74,379577,285365.26,94211.74,32974.19,28125.04,4849.15
Sangamon County,Prime Time Gaming IL Inc.,240701158,6,490328.03,448000.77,42327.26,215658,173330.74,42327.26,14814.61,12635.99,2178.62
Hanna City,"Hanna City Tap, Inc.",240701155,6,21510.14,19591.08,1919.06,6539,4619.94,1919.06,671.67,572.9,98.77
McHenry,"Foxhole Pizza and Pub, Inc.",240701141,5,162928.89,146741.69,16187.2,61538,45350.8,16187.2,5665.57,4832.4,833.17
Ullin,ULLIN MARKET PLACE LLC,240701140,6,310954.51,287729.83,23224.68,105923,82698.32,23224.68,8128.78,6933.38,1195.4
Plainfield,BEG4BP LLC,240701122,5,40234.69,38144.65,2090.04,16993,14902.96,2090.04,731.49,623.92,107.57
Aledo,Aledo HJ INC,240701095,6,11898.75,10606.73,1292.02,5184,3891.98,1292.02,452.2,385.7,66.5
Springfield,Butternut Hut L.L.C.,240701078,6,2466800.59,2255603.8,211196.79,864332,653135.21,211196.79,73889.99,63023.82,10866.17
Plano,JJ PIAS12 GAMING INC,240701077,6,1530888.64,1375359.73,155528.91,569597,414068.09,155528.91,54435.29,46430.1,8005.19
Mount Pulaski,MT PULASKI CAFE INC.,240701059,4,54898.3,44865.66,10032.64,23967,13866.1,10100.9,3535.37,3015.46,519.91
Granite City,"PONTOON FUELS, INC.",240701054,6,1154816.4,1041897.81,112918.59,403418,290499.41,112918.59,39521.47,33709.48,5811.99
Worth,"GEMATO II, INC.",240701044,6,247148.95,215970.14,31178.81,95556,64377.19,31178.81,10912.59,9307.8,1604.79
Bonnie,BONNIE CAFE OF ILLINOIS LLC,240701041,6,326216.03,294535.13,31680.9,120176,88495.09,31680.91,11088.26,9457.64,1630.62
Harvard,Soha Enterprises LLC,240701039,5,496972.12,450003.3,46968.82,192420,145451.18,46968.82,16439.27,14021.72,2417.55
West Peoria,"JSW DUCKS, LLC",240701034,6,965896.16,889517.84,76378.32,359843,283464.68,76378.32,26732.44,22801.19,3931.25
Johnsburg,Grandma Kitchen Mexican Grill Inc.,240701033,6,145346.51,130096.59,15249.92,56379,41129.08,15249.92,5337.49,4552.57,784.92
Godfrey,"Shanghai House, LLC",240701020,4,66256.1,64292.4,1963.7,21707,19743.3,1963.7,687.4,586.32,101.08
Plainfield,"DNS Hospitality, LLC",240701018,5,410592.09,358880.35,51711.74,164784,113072.26,51711.74,18099.27,15437.62,2661.65
Midlothian,"Bartolini's Restaurant, Inc.",240701016,6,408370.99,365754.53,42616.46,146589,103972.54,42616.46,14915.88,12722.37,2193.51
Ford Heights,VINNY'S BODEGA INC.,240701008,6,47324.85,41301.16,6023.69,21322,15298.31,6023.69,2108.36,1798.31,310.05
New Lenox,TADA LLC,240701007,6,972.86,759.3,213.56,373,159.03,213.97,74.88,63.87,11.01
Loves Park,Country Club Tavern LLC,240700987,6,185544.88,166803.95,18740.93,72421,53680.07,18740.93,6559.44,5594.82,964.62
Lee County,SLOTS R US LLC,240700964,6,857381.28,781134.76,76246.52,315267,239020.48,76246.52,26686.42,22761.94,3924.48
Rockford,Empire Slots E State LLC,240700962,6,20179.38,20368.06,-188.68,9479,9667.56,-188.56,-66,-56.29,-9.71
Rapids City,FJ Investments Incorporated,240700956,4,1103309.97,1000141.21,103168.76,401074,297905.24,103168.76,36109.11,30798.95,5310.16
Bensenville,"NIGIJO 5, INC.",240700949,6,930141.93,846773.57,83368.36,340049,256680.64,83368.36,29178.98,24887.96,4291.02
Lexington,PSM RAJ2 LLC,240700948,6,139595.63,125927.14,13668.49,45967,32298.51,13668.49,4784.06,4080.53,703.53
Springfield,"JLN Enterprises, LLC",240700946,6,739450.09,674945.58,64504.51,251652,187147.07,64504.93,22576.75,19256.65,3320.1
West Frankfort,"Jay Shree Radhe Krishna, Inc.",240700935,6,349758.47,324375.29,25383.18,106911,81527.82,25383.18,8884.18,7577.69,1306.49
Coulterville,CORNER COFFEE AND GAMING LLC,240700928,5,251229.2,225245.89,25983.31,80723,54739.69,25983.31,9094.21,7756.83,1337.38
St. Clair County,"Lucky Jack's Belleville, LLC",240700927,6,939296.74,857587.27,81709.47,307077,225367.53,81709.47,28598.44,24392.79,4205.65
West Frankfort,SAVAGE TIME LLC,240700926,6,994854.77,901906.15,92948.62,311940,218893.7,93046.3,32566.31,27777.14,4789.17
Cherry Valley,JRR GAMING LLC,240700919,6,681102.56,609695.2,71407.36,234270,162862.64,71407.36,24992.7,21317.3,3675.4
Belgium,"Midwest Venturez, LLC",240700913,6,496929.92,448376,48553.92,187120,138566.08,48553.92,16993.89,14494.78,2499.11
Lake Villa,"Camta Group, Inc.",240700907,6,1121012.32,1040149.83,80862.49,436066,355203.51,80862.49,28301.87,24139.84,4162.03
Machesney Park,Empire Slots West Lane 1 LLC,240700906,6,12050.93,9779.27,2271.66,4703,2431.34,2271.66,795.08,678.16,116.92
Posen,LA BODEGA CAFE LLC,240700905,5,10092.45,8606.79,1485.66,4993,3507.34,1485.66,519.98,443.51,76.47
Bensenville,CILANTRO TACO GRILL BENSENVILLE LLC,240700904,6,458463.46,410386.06,48077.4,173530,125452.54,48077.46,16827.29,14352.69,2474.6
Alsip,"SAROOR, LLC",240700902,6,305887.82,270039.05,35848.77,132973,97124.23,35848.77,12547.06,10701.89,1845.17
Plainfield,Sound Solution Entertainment LLC,240700894,6,218544.23,196348.85,22195.38,77298,55102.62,22195.38,7768.47,6626.05,1142.42
Madison County,"Shoreline Bar, LLC",240700889,5,424287.68,383773.91,40513.77,168588,128074.23,40513.77,14179.95,12094.67,2085.28
Plainfield,"Maple Butter Cafe, Inc.",240700887,6,126638.4,114190.35,12448.05,50738,38289.95,12448.05,4356.78,3716.08,640.7
Lindenhurst,"THE LINKS ON GRAND, LLC",240700870,6,762233.52,695890.97,66342.55,265702,199359.45,66342.55,23220.03,19805.32,3414.71
St. Clair County,Loose Ends Social House LLC,240700868,4,553184.78,511561.7,41623.08,206007,164383.92,41623.08,14568.15,12425.77,2142.38
Plainfield,"BIG SAMMY'S RESTAURANT AND BAR, INC.",240700861,6,1059583.96,953826.64,105757.32,401503,295744.83,105758.17,37015.4,31571.96,5443.44
North Chicago,Full Moon Diner LLC,240700846,6,1398652.81,1282969.88,115682.93,468760,353077.07,115682.93,40489.11,34534.83,5954.28
Anna,"JJ'S PIZZA VILLA, LLC",240700844,5,185293.79,178664.23,6629.56,75278,68648.44,6629.56,2320.42,1979.19,341.23
Ridge Farm,"L & H FAMILY, LLC",240700831,6,456658.97,414305.26,42353.71,203897,161543.1,42353.9,14823.85,12643.87,2179.98
Hoffman Estates,2565 Hoffman LLC,240700821,6,429513.59,384387.74,45125.85,158740,113614.15,45125.85,15794.11,13471.44,2322.67
Wheeling,La Donita Oaxaquena 2 LLC,240700816,5,419765.88,376857.86,42908.02,165351,122442.98,42908.02,15017.88,12809.37,2208.51
Roscoe,"PIETROS OF ROSCOE, LLC",240700796,6,672627.9,615777.58,56850.32,246735,189884.63,56850.37,19897.66,16971.53,2926.13
Brighton,RAM SETU LLC,240700784,6,223036.49,197012.76,26023.73,81693,55669.27,26023.73,9108.34,7768.88,1339.46
Bedford Park,SPRINGLAKE VENTURES INC.,240700780,6,1052773.48,953295.53,99477.95,416154,316676.05,99477.95,34817.36,29697.16,5120.2
Round Lake,KING QUEST 2 INC.,240700779,6,908.69,693.89,214.8,2112,1897.2,214.8,75.18,64.13,11.05
Cary,GUNATITRAJ INC.,240700775,4,351580.46,315970.57,35609.89,138594,102984.11,35609.89,12463.55,10630.68,1832.87
Joliet,Crazy Burrito Authentic Mexican Grill Corporation,240700770,4,19850.48,16758.25,3092.23,8987,5894.77,3092.23,1082.32,923.15,159.17
Robinson,"Martin & Bayley, Inc.",240700765,6,1314783.12,1187126.05,127657.07,411661,284003.93,127657.07,44680.08,38109.47,6570.61
Greenville,"MUNCHEZZ, LLC",240700759,6,129693.34,110284.61,19408.73,45432,26023.27,19408.73,6793.15,5794.17,998.98
Savanna,CLEE ENTERTAINMENT 2 INC.,240700743,6,438217.93,408435.98,29781.95,167533,137751.05,29781.95,10423.77,8890.86,1532.91
Lake County,Shrijal26 Corporation,240700742,6,938014.85,866800.83,71214.02,298412,227197.98,71214.02,24867.46,21210.48,3656.98
Milan,Finn's Grill LLC,240700729,4,29132.79,28035.26,1097.53,14586,13488.37,1097.63,384.18,327.69,56.49
North Aurora,BREVAN LLC,240700720,6,88521.17,73821.31,14699.86,32586,17886.14,14699.86,5145.04,4388.41,756.63
Joliet,Red Crab Jefferson LLC,240700702,4,95096.73,86705.91,8390.82,34742,26351.09,8390.91,2936.85,2504.96,431.89
Southern View,Brezie's Roasted Beans and Gaming LLC,240700701,6,178414.99,160499.31,17915.68,60835,42919.32,17915.68,6270.59,5348.45,922.14
Waukegan,"CASEY'S CORNER, LLC",240700695,6,2020750.34,1804920.08,215830.26,741479,525648.74,215830.26,75457.93,64361.18,11096.75
Mundelein,Mundelein Park & Recreation Dist.,240700690,3,9757.06,8273.62,1483.44,4668,3184.56,1483.44,519.19,442.84,76.35
St. Libory,"CAMP DINK, LLC",240700681,6,219675.24,221392.9,-1717.66,67357,69074.66,-1717.66,-601.13,-512.74,-88.39
Mount Prospect,SVNA LLC,240700679,6,509767.26,452857.67,56909.59,193416,136506.41,56909.59,19918.49,16989.31,2929.18
Georgetown,Grapevine Liquors LLC,240700678,6,33019.08,29261.82,3757.26,10965,7207.74,3757.26,1315.02,1121.63,193.39
Quincy,All American Slots LLC,240700663,4,254789.54,233710.91,21078.63,92806,71727.37,21078.63,7377.57,6292.63,1084.94
McHenry,River Pearl LLC,240700662,6,477509.45,431750.47,45758.98,175713,129953.92,45759.08,16015.72,13660.47,2355.25
Sterling,"CRAFTED ROOTS, LLC",240700651,4,64465.87,56715.69,7750.18,26905,19154.82,7750.18,2712.63,2313.71,398.92
Cook County,"101 South Commercial, LLC",240700650,6,447828.6,384977.61,62850.99,172648,109797.01,62850.99,21997.86,18762.88,3234.98
Arthur,"JBuck, LLC",240700649,6,838925.28,763187.12,75738.16,310222,234483.84,75738.16,26472.8,22579.73,3893.07
Keyesport,Kesari Inc.,240700647,6,937734.16,856927.6,80806.56,294448,213641.44,80806.56,28282.4,24123.23,4159.17
Berwyn,ITXIKY LLC,240700646,6,163777.98,157660.28,6117.7,75482,69364.12,6117.88,2141.23,1826.35,314.88
Mount Prospect,JAY BAJRANG MP WINGS INC.,240700638,6,167998.69,143523.42,24475.27,77277,52800.73,24476.27,8566.74,7306.92,1259.82
Mattoon,"La Luna Mexican Restaurant, LLC",240700625,3,67748.89,62685.65,5063.24,22736,17672.76,5063.24,1772.12,1511.52,260.6
Ford County,Kimberly Young,240700615,3,74177.13,64576.65,9600.48,33578,23977.52,9600.48,2900.56,2474,426.56
Morris,"Montage Wine Bar & Spirits, Inc.",240700614,6,191413.38,176435.89,14977.49,71974,56996.51,14977.49,5224.69,4456.34,768.35
Lacon,THE ANTIQUE FARM LLC,240700610,4,32449.33,26475.75,5973.58,13449,7475.42,5973.58,2090.79,1783.32,307.47
McHenry,NORTHERN CAFE IV LLC,240700609,6,2614462.12,2391470.04,222992.08,970513,747520.92,222992.08,77528.93,66127.64,11401.29
South Elgin,BELLA'S RESTAURANT GROUP SOUTH ELGIN LLC,240700608,6,3643486.18,3320755.97,322730.21,1355650,1032919.79,322730.21,112909.99,96305.59,16604.4
Sangamon County,Erins Place LLC,240700607,6,120800.84,110966.91,9833.93,44690,34856.07,9833.93,3441.86,2935.7,506.16
Kendall County,PAPA MAGOOS CORPORATION,240700596,6,990399.38,909619.98,80779.4,364281,283501.6,80779.4,28272.89,24115.12,4157.77
La Salle County,"Deer Park Golf Club, Inc.",240700595,5,203377.9,188682.43,14695.47,77680,62972.73,14707.27,5134.95,4379.81,755.14
Breese,Margarita City LLC,240700593,5,91695.39,86586.93,5108.46,34233,29123.94,5109.06,1788.16,1525.19,262.97
Brookport,Grumpys Biker Emporium LLC,240700579,4,131031.26,117229.36,13801.9,50475,36673.1,13801.9,4764.66,4063.98,700.68
Oregon,"Chrissy's Corner, LLC",240700575,6,668340.82,603343.37,64997.45,236070,171072.15,64997.85,22692.34,19355.23,3337.11
McLean County,Papa G’s Downs LLC,240700543,2,6210.47,5960.61,249.86,2558,2308.14,249.86,87.47,74.61,12.86
Kildeer,GOLF LIFE BALANCE INC.,240700542,6,16915.32,14209.25,2706.07,9438,6731.93,2706.07,947.12,807.84,139.28
Ogle County,MAPPINE GOLF LLC,240700541,4,170055.11,157165.57,12889.54,55677,42787.46,12889.54,4511.38,3847.94,663.44
East Dubuque,"""McBerns Enterprises, Inc.""",240700530,5,91830.41,85265.29,6565.12,31355,24789.83,6565.17,2297.85,1959.94,337.91
Crete,Leem Hospitality LLC,240700527,6,1168872.45,1053286.77,115585.68,429604,314018.32,115585.68,40455,34505.73,5949.27
Coffeen,Huston 2023 LLC,240700525,6,1244366.53,1145991.54,98374.99,403483,305108.01,98374.99,34144.38,29123.15,5021.23
Bath,"Bobby Joe Thompson, Sr.",240700493,4,65589.28,57243.12,8346.16,24503,16156.46,8346.54,2632.1,2245.03,387.07
